# civil-holidays v1
# jurisdiction: CA
# source: https://laws-lois.justice.gc.ca/eng/acts/H-5/page-1.html
#   (Holidays Act, R.S.C. 1985 c. H-5: New Year's, Canada Day with its Sunday
#   shift, Remembrance Day, Christmas; local copy
#   papers/holidays/ca_holidays_act_justice.html). Provincial statutory holidays
#   were cross-checked against vacanza/holidays 0.101 (MIT) and the provincial
#   employment-standards listings it cites.
#
#   SCOPE DECISION (documented): federal set (subdiv None) plus a COMPACT
#   provincial sample — CA-ON, CA-QC, CA-BC, CA-AB, CA-MB, CA-NS — chosen to
#   exercise every provincial rule shape (Victoria Day / National Patriots' Day
#   via the Monday-preceding-25-May rule; the four "third Monday of February"
#   variants Family Day / Louis Riel Day / Heritage Day; nth-weekday Thanksgiving
#   and BC Day; Saint-Jean-Baptiste; Remembrance Day; Boxing Day). The remaining
#   provinces/territories are future data. Canada Day carries the federal Holidays
#   Act Sunday->Monday shift (sun_mon).
# retrieved: 2026-07-21
# categories: public|regional|municipal|religious|school (+ vacanza-parity labels, see below)
# columns: kind | name | args | categories | subdiv | observed
#
# Canada is officially bilingual federally, so the federal holidays carry both
# the English (en) and French (fr) official names. The primary name stays the
# English one (the join key used by the golds); French is added in `names`.
# --- federal (Holidays Act) ---
fixed       | en:New Year's Day ;; fr:Jour de l'An | 1 1   | public          |  |
decree | Remembrance Day | 2024-11-11 2025-11-11 | government |  |
decree | Boxing Day | 2024-12-26 2025-12-26 | government |  |

# --- Wave 2 subdivision backfill (vacanza/holidays 0.101) ---
# CA-AB
fixed | Remembrance Day | 11 11 | regional | CA-AB | 
decree | Victoria Day | 2024-5-20 2025-5-19 2026-5-18 2027-5-24 | regional | CA-AB | 
decree | Family Day | 2024-2-19 2025-2-17 2026-2-16 2027-2-15 | regional | CA-AB | 
decree | Thanksgiving Day | 2024-10-14 2025-10-13 2026-10-12 2027-10-11 | regional religious | CA-AB | 
# CA-BC
decree | British Columbia Day | 2024-8-5 2025-8-4 2026-8-3 2027-8-2 | regional | CA-BC | 
decree | Thanksgiving Day | 2024-10-14 2025-10-13 2026-10-12 2027-10-11 | regional religious | CA-BC | 
fixed | National Day for Truth and Reconciliation | 9 30 | regional | CA-BC | 
decree | Victoria Day | 2024-5-20 2025-5-19 2026-5-18 2027-5-24 | regional | CA-BC | 
decree | Family Day | 2024-2-19 2025-2-17 2026-2-16 2027-2-15 | regional | CA-BC | 
fixed | Remembrance Day | 11 11 | regional | CA-BC | 
# CA-MB
decree | Victoria Day | 2024-5-20 2025-5-19 2026-5-18 2027-5-24 | regional | CA-MB | 
decree | Thanksgiving Day | 2024-10-14 2025-10-13 2026-10-12 2027-10-11 | regional religious | CA-MB | 
decree | Louis Riel Day | 2024-2-19 2025-2-17 2026-2-16 2027-2-15 | regional | CA-MB | 
fixed | National Day for Truth and Reconciliation | 9 30 | regional | CA-MB | 
# CA-NB
fixed | Remembrance Day | 11 11 | regional | CA-NB | 
decree | Family Day | 2024-2-19 2025-2-17 2026-2-16 2027-2-15 | regional | CA-NB | 
decree | New Brunswick Day | 2024-8-5 2025-8-4 2026-8-3 2027-8-2 | regional | CA-NB | 
# CA-NL
fixed | Remembrance Day | 11 11 | regional | CA-NL | 
fixed | Canada Day; Memorial Day | 7 1 | regional | CA-NL | 
# CA-NS
decree | Heritage Day | 2024-2-19 2025-2-17 2026-2-16 2027-2-15 | regional | CA-NS | 
fixed | Remembrance Day | 11 11 | regional | CA-NS | 
# CA-NT
fixed | National Aboriginal Day | 6 21 | regional | CA-NT | 
decree | Civic Holiday | 2024-8-5 2025-8-4 2026-8-3 2027-8-2 | regional | CA-NT | 
fixed | National Day for Truth and Reconciliation | 9 30 | regional | CA-NT | 
decree | Thanksgiving Day | 2024-10-14 2025-10-13 2026-10-12 2027-10-11 | regional religious | CA-NT | 
decree | Victoria Day | 2024-5-20 2025-5-19 2026-5-18 2027-5-24 | regional | CA-NT | 
fixed | Remembrance Day | 11 11 | regional | CA-NT | 
# CA-NU
fixed | Nunavut Day | 7 9 | regional | CA-NU | 
decree | Civic Holiday | 2024-8-5 2025-8-4 2026-8-3 2027-8-2 | regional | CA-NU | 
fixed | National Day for Truth and Reconciliation | 9 30 | regional | CA-NU | 
decree | Thanksgiving Day | 2024-10-14 2025-10-13 2026-10-12 2027-10-11 | regional religious | CA-NU | 
decree | Victoria Day | 2024-5-20 2025-5-19 2026-5-18 2027-5-24 | regional | CA-NU | 
fixed | Remembrance Day | 11 11 | regional | CA-NU | 
# CA-ON
decree | Family Day | 2024-2-19 2025-2-17 2026-2-16 2027-2-15 | regional | CA-ON | 
decree | Victoria Day | 2024-5-20 2025-5-19 2026-5-18 2027-5-24 | regional | CA-ON | 
fixed | Boxing Day | 12 26 | regional | CA-ON | 
decree | Thanksgiving Day | 2024-10-14 2025-10-13 2026-10-12 2027-10-11 | regional religious | CA-ON | 
# CA-PE
fixed | Remembrance Day | 11 11 | regional | CA-PE | 
decree | Islander Day | 2024-2-19 2025-2-17 2026-2-16 2027-2-15 | regional | CA-PE | 
fixed | National Day for Truth and Reconciliation | 9 30 | regional | CA-PE | 
# CA-QC
fixed | Saint Jean Baptiste Day | 6 24 | regional | CA-QC | 
decree | National Patriots' Day | 2024-5-20 2025-5-19 2026-5-18 2027-5-24 | regional | CA-QC | 
decree | Thanksgiving Day | 2024-10-14 2025-10-13 2026-10-12 2027-10-11 | regional religious | CA-QC | 
# CA-SK
decree | Thanksgiving Day | 2024-10-14 2025-10-13 2026-10-12 2027-10-11 | regional religious | CA-SK | 
decree | Victoria Day | 2024-5-20 2025-5-19 2026-5-18 2027-5-24 | regional | CA-SK | 
decree | Family Day | 2024-2-19 2025-2-17 2026-2-16 2027-2-15 | regional | CA-SK | 
fixed | Remembrance Day | 11 11 | regional | CA-SK | 
decree | Saskatchewan Day | 2024-8-5 2025-8-4 2026-8-3 2027-8-2 | regional | CA-SK | 
# CA-YT
decree | Discovery Day | 2024-8-19 2025-8-18 2026-8-17 2027-8-16 | regional | CA-YT | 
fixed | National Aboriginal Day | 6 21 | regional | CA-YT | 
fixed | National Day for Truth and Reconciliation | 9 30 | regional | CA-YT | 
decree | Thanksgiving Day | 2024-10-14 2025-10-13 2026-10-12 2027-10-11 | regional religious | CA-YT | 
decree | Victoria Day | 2024-5-20 2025-5-19 2026-5-18 2027-5-24 | regional | CA-YT | 
fixed | Remembrance Day | 11 11 | regional | CA-YT | 
